name,price,status,shipping,free_returns,items_sold
"Gigabyte Nvidia P104-100 8GB Mining GPU (GTX 1080 Hashrate) | Fast Ship, US S...",4497,Pre-Owned,0,True,269
*New*Nvidia Tesla P4 8GB GPU Card graphics GDDR5 Supermicro PCI-E US Seller,11999,Brand New ·,0,False,30
MSI NVIDIA GeForce RTX 2070 8GB GDDR6 Graphics Card (RTX2070ARMOR8G),15000,Pre-Owned ·,1041,False,
MSI G3050LP6C GeForce RTX 3050 LP 6G OC Low Profile 6GB GDDR6 Graphics Card,19900,Brand New ·,0,False,6
RARE Tested OEM NVIDIA GeForce GTX 260 896MB PCIe x16 Graphics Video Card GPU,5999,Pre-Owned ·,1525,False,
Nvidia Geforce 3080M 8gb Mobile PCIE GPU - Learning / AI / Mining,24999,Pre-Owned ·,1358,False,
NVIDIA P106-100 6GB GDDR5 Mining GPU – GTX 1060 – PCIe – Tested Working,2899,Pre-Owned ·,1850,False,
RARE Tested OEM NVIDIA GeForce GTX 260 896MB PCIe x16 Graphics Video Card GPU,5999,Pre-Owned ·,1525,False,
New GT210 PCIE X1 1GB Support PCIE X4 / X8 / X16 Graphics Slot Video Card GPU,6109,Brand New ·,0,True,
PNY NVIDIA RTX A4500 20GB GDDR6 PCIe 4.0 x16 Graphics VCNRTXA4500-PB Exc 1 Year,94994,Excellent - Refurbished ·,,True,6
Nvidia 90HX CMP 10GB Ai GPU  - Same Business Day Shipping,15994,Pre-Owned ·,1685,False,
GIGABYTE NVIDIA GeForce GTX 750 Ti 2GB GDDR5 Low Profile Full Height GPU,4999,Pre-Owned ·,1368,False,
"MSI GeForce GTX 1070 8GB Aero ITX GPU | 1yr Warranty, Fast Ship!",11997,Very Good - Refurbished ·,0,True,
NVIDIA CMP 170HX 10GB Mining Card GPU 164MH/s PCIe PCI-Express 4.0 x4,19500,Pre-Owned ·,0,False,15
Nvidia Tesla GPU Cooling Fan Shroud Mounting K60 M40 P100 Accelerator Card. AI,2998,Brand New,0,True,
"Zotac P106-090 3GB Mining GPU Single Fan | Fast Ship, US Seller!",2497,Pre-Owned,0,True,
XFX Radeon RX 580 8GB GDDR5 Graphics Card – Tested Working – Gaming GPU,6000,Pre-Owned ·,607,False,
Nvidia Kepler Grid K520 8GB GDDR5 PCIe x16 GPU Graphics Card 900-12055-0020-000,3399,Pre-Owned ·,0,True,
HP Nvidia Tesla M60 16GB GDDR5 Graphics Accelerator Card GPU 820178-001 816492,5488,Pre-Owned ·,,True,
XFX Radeon RX 570 8GB GDDR5 Graphics Card HDMI DVI DisplayPort Gaming GPU,7000,Pre-Owned ·,1207,False,
"Compatible with GIGABYTE Geforce RTX 5060 OC Low Profile 8G Graphics Card, Cu...",10181,Brand New,0,True,
Nvidia Tesla GPU Cooling Fan Shroud Mounting K60 M40 P100 Accelerator Card AI,3897,Brand New,0,True,
NVIDIA Quadro P4000 8GB GDDR5 105W Graphics Card GPU with HP Bracket 320-5001,16999,Pre-Owned ·,0,False,
