name,price,status,shipping,free_returns,items_sold
SEALED AMD Ryzen 9 9950X3D 16-Core 32-Thread Processor CPU 5.7 GHz,61995,Brand New,0,False,
Intel Xeon E3-1241 V3 SR1R4 3.50GHz Quad-Core 8-Thread LGA1150 CPU,1599,Pre-Owned,0,False,
Matched Pair Intel Xeon X5690 SLBVX 3.46GHz  6.4GT/s 12MB 6 Core 1333GHz CPU,5198,Pre-Owned,300,False,105
SR37J Intel Xeon Platinum 8168 2.70GHz 24-Core 33MB LGA 3647 CPU,5500,Pre-Owned,0,False,
Intel Xeon E5-2699 v4 2.2GHz (22 Cores) 9.6GT/s 55MB SR2JS LGA2011-3 B Grade CPU,8551,Pre-Owned,,True,150
Intel Core i5-6500 SR2L6 3.20GHz 4-Core 6MB LGA1151 CPU Processor,1998,Pre-Owned,0,False,380
Intel Xeon E5-2660 v4 SR2N4 2.00GHz 35MB 14-Core LGA2011-3 CPU Processor,999,Pre-Owned,0,False,401
**  Intel Core i5-11400F Processor - USED  **,7898,Pre-Owned,,False,
AMD CPU Ryzen 5 1600 3.2GHZ Socket AM4,2400,Pre-Owned,0,False,
Intel Core i5-13500 SRMBM 14-Core FCLGA1700 CPU Processor @2.50GHz,18999,Pre-Owned,,False,
Intel Core i5-6500 3.2GHz Quad-Core  CPU Processor,2100,Pre-Owned,0,False,
Intel Core Ultra 7 Desktop Processor 265KF - 20 cores (8 P-cores + 12 E-cores) a,24999,Brand New,,True,71
2ND GEN AMD EPYC 32 CORE PROCESSOR 7532 2.4GHZ/3.3GHZ 200W SP3 CPU 100-000000136,15000,Brand New,,True,111
Intel Core i7-4790 3.60GHz SR1QF Socket LGA1150 Processor CPU,3895,Pre-Owned,0,False,1464
"Intel Core i5-7600 SR334 Processor 6M Cache 3.50 GHz up to 4.10 GHz, FCLGA1151",2155,Pre-Owned,0,True,
YG Sealed Allen-Bradley 1747-L542 SER D SLC 5/04 CPU UNIT PROCESSOR,173800,Brand New,0,True,
FX3G-14MT/DSS Mitsubishi PLC NEW In Box 14-I/O CPU System FX3G14MTDSS,31399,Brand New,880,False,
Dell Windows 11 Pro Desktop Computer PC Up To i7 8th Gen. 32GB RAM 4TB SSD/HDD,50378,Excellent - Refurbished,,True,
Allen Bradley 1747-L551 SLC 500 SLC 5/05 CPU Processor Controller Ser A STOCK H1,99500,Pre-Owned,0,False,
IC695CPE305-AFAT GE RX3i CPU with Energy Pack included,195000,Pre-Owned,1800,False,
"New Allen-Bradley 1769-L30ERM Compact GuardLogix CPU, L30ERM, 1M/0.5M",151200,Brand New,0,True,
Intel SRH39 Core i5-10600T 2.40-4.0 GHz 12M Socket 1200 6-Core CPU Processor,7700,Pre-Owned,0,False,
SRF9H INTEL XEON 24 CORE PLATINUM 8260 35.75MB 2.40GHZ CPU,10549,Pre-Owned,,False,52
Intel Core i9-10980XE SRGSG 3.00GHz 24.75MB 18-Core LGA2066 CPU Processor,33999,Pre-Owned,0,False,203
Intel Xeon W-2145 SR3LQ 3.70GHz 11MB 8-Core LGA2066 CPU Processor,10999,Pre-Owned,0,False,141
Intel Core i7-6700 SR2L2 3.40GHz 4-Core 8MB LGA1151 CPU Processor,4499,Pre-Owned,0,False,72
Intel Xeon E5-2667 v3 8-Core 3.2GHz SR203 Haswell-EP Processor *km,699,Pre-Owned,0,True,181
Intel Xeon X5690 / SLBVX 3.46GHz 12MB 6-Core Processor LGA1366,4499,Pre-Owned,,True,328
AMD 100-000000054 EPYC 7502 32-Core 2.5Ghz Socket SP3 128MB L3 CPU Unlocked,14999,Pre-Owned,0,False,
INTEL Xeon E5-2699V4 SR2JS 2.20 GHz 55 MB SmartCache 145 W SKU 20068,8499,Pre-Owned,0,True,
1756-L84E SER B Controller ControlLogix 20MB Processor Logix5580 New Sealed PLC,529000,Brand New,0,True,
LONGHILL INDUSTRIES 00860-4033-000 PENTIUM VLB /ISA CPU CARD STOCK #2806,29999,Open Box,0,False,
CJ2H-CPU65-EIP Omron PLC High Speed CPU CJ2HCPU65EIP,121299,Pre-Owned,880,False,
Unlocked AMD EPYC 7402 24-Core 2.8GHz / 3.35GHz Socket SP3 CPU 100-000000046,8700,Pre-Owned,0,False,108
Intel Xeon Gold 6244 SRF8Z 3.60GHz 24.75MB 8-Core LGA3647 CPU Processor,5999,Pre-Owned,0,False,181
Lot of 2 Intel Xeon X5675 Hex Core SLBYL 3.06GHz / 12M / 6.40 CPU Processor,1979,Pre-Owned,,True,497
Intel Core i7-9800X SREZ9 8-Core 9th Gen 3.8GHz 16M Server CPU *km,5899,Pre-Owned,0,True,
Intel Xeon E5-2683 v4 2.10GHz 16-Core Processor CPU LGA2011 SR2JT,1099,Pre-Owned,,False,72
Intel Core i5-7600T SR336 2.8GHz 35W LGA 1151 6MB Cache 8GT/s CPU Processor,2200,Pre-Owned,0,True,
Intel Xeon E5-1650 v3 SR20J 3.5GHz 15MB 6-Core LGA2011-3 CPU Processor,999,Pre-Owned,0,False,524
New ListingAMD Ryzen 5 YD1600BBAEBOX 1600 6-Core AM4 Processor,2000,Pre-Owned,552,False,
[New System Pull] Intel Core i3 i3-14100T 2.7 GHz 4 cores 8 threads 12 MB cache,11795,Open Box,0,False,369
Intel SR325 Xeon E3-1280V6 3.9GHz Quad Core Processor*km,3999,Pre-Owned,0,True,79
"AMD Ryzen 7 9800X3D Desktop Processor (4.7 GHz, 8 Cores, AM5) Granite Ridge",34999,Pre-Owned,0,True,
Intel Xeon Platinum 8173M 2.0Ghz 38.5MB 28-Core 165W LGA3647 SR37Q,3295,Pre-Owned,,True,171
1Pc New Siemens S7-200 CPU module 6ES7214-1AD23-0XB0 6ES7 214-1AD23-0XB0,5650,Brand New,9000,False,
Allen-Bradley SLC 500 1747-L542 Ser. B Processor - Free Shipping,16625,Refurbished,1195,False,
Allen-Bradley SLC 500 1747-L541 Ser. B PLC Processor,15199,Refurbished,1995,False,
"New Allen-Bradley 1769-L30ERMS Compact GuardLogix CPU, L30ERMS, 1M/0.5M",258000,Brand New,0,True,
Intel Xeon E-2224 SRFAV 3.40GHz 8MB 4-Core LGA1151 Socket CPU *km,1199,Pre-Owned,,True,
Intel Core i7 3632QM CPU 2.2GHz Quad-Core 35W SR0V0 Laptop Processor,4525,Pre-Owned,0,True,46
AMD FX-8320 8 Core 3.50GHz Socket AM3+ CPU Processor,3699,Pre-Owned,0,True,
Intel Core i7-6950X CPU | 10 Cores | 20 Threads | 3.5GHz | Intel 2011-3 Socket,13455,Pre-Owned,1368,False,
Intel Core i7-2600 3.40GHz LGA1155 SR00B Processor,2500,Pre-Owned,0,False,
Intel Xeon W-2235 SRGVA 3.80GHz 8.25MB 6-Core LGA2066 CPU Processor,5899,Pre-Owned,0,False,315
NEW 1769-L32C Ser A Allen Bradley CompactLogix ControlNet Processor FREE SHIP,97000,Brand New,0,True,
AMD Ryzen 7 7800X3D Gaming Processor,34500,Pre-Owned,552,True,
Intel Xeon E5-2698v4 SR2JW 2.2GHz 20-Core LGA2011 Server CPU Processor,5400,Pre-Owned,0,True,
Intel Xeon Gold 6240R 2.40GHz 24-Core 48-Threads 35.75MB LGA 3647 CPU P/N: SRGZ8,12500,Pre-Owned,0,False,
Intel Xeon E5-2667V4 8-Core 3.20GHz SR2P5 CPU Processor *km,2199,Pre-Owned,0,True,472
Intel Xeon Gold 6248 2.5 GHz 20 Cores SRF90 CD8069504194301,6000,Pre-Owned,,True,
Intel Xeon Gold 6138 2.0 GHz 20 Cores SR3B5 CPU LGA3647 (Socket P),1199,Pre-Owned,0,False,283
Intel Xeon E5-2699 v3 SR1XD 2.3GHz 18-Core 45MB LGA2011-3 CPU Processor,2299,Pre-Owned,0,False,37
Intel Xeon X3470 2.93GHz 8M 4 Core 8 Threads LGA 1156 Socket H CPU *km,1798,Pre-Owned,,True,44
Intel Core i3-10100 3.60GHz 4-Core LGA1200 Desktop CPU Processor,6498,Pre-Owned,0,True,
SRF95 Intel Xeon Platinum 8268 Processor SRF95 24-CORE 2.9 GHZ,16900,Pre-Owned,400,False,15
Intel Xeon E5-2680 V4 SR2N7 2.4GHz 35MB 14-Core Processor *km,1399,Pre-Owned,0,True,834
Intel Xeon E3-1275 V2 4-core 8M-77W LGA1155 3.50GHZ CPU processor,2799,Pre-Owned,0,True,31
Intel Xeon E3-1270v3 3.50GHz 4C 8MB 80W FCLGA1150 CPU CM8064601467101 SR151,1798,Pre-Owned,0,True,55
Intel CM8065802483301 SR2AG Core i7-5775C Processor 6M Cache NEW TRAY,9900,Brand New,1200,False,179
Matched Pair Intel Xeon E5-2650 V2 2.60 GHz 8 Core (SR1A8) Processors,1099,Pre-Owned,,True,18
Intel Core i3-14100 Processor 4.70 GHz OEM Tray CPU SRMX1 CM8071505092206,12900,Open Box,0,True,
Intel Xeon Silver 4214 2.2GHz 12-Core Processor (CD8069504212601) SRFB9,1195,Pre-Owned,,False,12
Intel Core i5-2520M 2.50GHz 2-Core 3MB Socket G2 Mobile laptop Processor SR048,699,Pre-Owned,,False,132
Intel Core 2 Duo E8400 LGA775 SLB9J 3.0GHz 6MB CPU Processor,1035,Pre-Owned,,True,
140CPU67160C Schneider TXS Quantum Modicon 140CPU67160C Fast Shipping 1pcs,308000,Brand New,0,True,
New Allen-Bradley 1747-L553 SER C SLC500 5/05 CPU Processor Unit 1747L553,466100,Brand New,0,True,
NEW B&R X20CP1585 Module X20 CP 1585 CPU PLC Expedited Shipping,233738,Brand New,0,False,
1PC Brand New Inovance Controller AM600-CPU1608TP FedEx/DHL,118129,Brand New,0,False,
KEBA E-CPU-186-C/16MHZ / ECPU186C16MHZ (USED),253833,Pre-Owned,1290,False,
